10000,132
20000,275
30000,339
40000,472
50000,564
60000,667
70000,781
80000,885
90000,1021
100000,1128
110000,1243
120000,1410
130000,1544
140000,1590
150000,1737
160000,1821
170000,1934
180000,1978
190000,2091
200000,2227
210000,2382
220000,2471
230000,2664
240000,2729
250000,2844
260000,2944
270000,3090
280000,3241
290000,3287
300000,3378
310000,3576
320000,3655
330000,3969
340000,3911
350000,4039
360000,4141
370000,4293
380000,4300
390000,4441
400000,4484
410000,4675
420000,4695
430000,4924
440000,4925
450000,5095
460000,5217
470000,5338
480000,5557
490000,5659
500000,5814
510000,5834
520000,5916
530000,6092
540000,6101
550000,6342
560000,6476
570000,6574
580000,6765
590000,6963
600000,6873
610000,6984
620000,6949
630000,7216
640000,7459
650000,8029
660000,7433
670000,7556
680000,7821
690000,7828
700000,8107
710000,8195
720000,8248
730000,8343
740000,8342
750000,8540
760000,8922
770000,9407
780000,9616
790000,9666
800000,10307
810000,10057
820000,9914
830000,9583
840000,9701
850000,9697
860000,9910
870000,9920
880000,9998
890000,10110
900000,10273
910000,10348
920000,10476
930000,10709
940000,10665
950000,10717
960000,11050
970000,10940
980000,10912
990000,11080
